Seed was:  1322998564246784757
1322998564246784757
89.54358100891113
         99955905 function calls (99935444 primitive calls) in 102.775 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      210    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1606(path_hook_for_FileFinder)
      389    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:175(_path_isabs)
     3300    0.015    0.000    0.041    0.000 <frozen importlib._bootstrap_external>:361(cache_from_source)
     1829    0.003    0.000    0.030    0.000 <frozen importlib._bootstrap_external>:491(_get_cached)
     1650    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:523(_check_name_wrapper)
     1610    0.006    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:560(_classify_pyc)
     1610    0.003    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:593(_validate_timestamp_pyc)
     2307    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:64(_relax_case)
     1610    0.006    0.000    0.181    0.000 <frozen importlib._bootstrap_external>:645(_compile_bytecode)
     1829    0.006    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:696(spec_from_file_location)
     4830    0.005    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:79(_unpack_uint32)
     1650    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:841(create_module)
   1650/1    0.006    0.000    2.696    2.696 <frozen importlib._bootstrap_external>:844(exec_module)
       40    0.000    0.000    0.102    0.003 <frozen importlib._bootstrap_external>:908(source_to_code)
     1650    0.022    0.000    0.980    0.001 <frozen importlib._bootstrap_external>:916(get_code)
      210    0.001    0.000    0.006    0.000 <frozen zipimport>:63(__init__)
       17    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 <string>:1(__create_fn__)
        1    0.000    0.000    0.000    0.000 <string>:2(<module>)
       22    0.000    0.000    0.000    0.000 <string>:2(__init__)
        1    0.000    0.000    0.000    0.000 ElementPath.py:334(_SelectorContext)
        1    0.000    0.000    0.001    0.001 ElementPath.py:59(<module>)
        1    0.000    0.000    0.005    0.005 ElementTree.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ElementTree.py:106(ParseError)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1116(_ListDataStream)
        1    0.000    0.000    0.000    0.000 ElementTree.py:125(Element)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1283(XMLPullParser)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1395(TreeBuilder)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1517(XMLParser)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1780(C14NWriterTarget)
        1    0.000    0.000    0.000    0.000 ElementTree.py:477(QName)
        1    0.000    0.000    0.000    0.000 ElementTree.py:525(ElementTree)
        1    0.000    0.000    0.000    0.000 _VF.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _VF.py:18(VFModule)
        1    0.000    0.000    0.000    0.000 _VF.py:21(__init__)
       12    0.000    0.000    0.000    0.000 _VF.py:25(__getattr__)
        1    0.000    0.000    0.000    0.000 __config__.py:1(<module>)
        2    0.000    0.000    0.000    0.000 __config__.py:3(<module>)
        2    0.000    0.000    0.000    0.000 __future__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:81(_Feature)
       10    0.000    0.000    0.000    0.000 __future__.py:83(__init__)
      210    0.009    0.000   14.539    0.069 __init__.py:1(<module>)
        7    0.000    0.000    0.000    0.000 __init__.py:102(CFunctionType)
        1    0.000    0.000    0.000    0.000 __init__.py:104(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:1040(StreamHandler)
        3    0.000    0.000    0.001    0.000 __init__.py:109(import_module)
        1    0.000    0.000    0.000    0.000 __init__.py:11(DeprecatedTzFormatWarning)
        1    0.000    0.000    0.000    0.000 __init__.py:11(Future)
        1    0.000    0.000    0.000    0.000 __init__.py:1123(FileHandler)
        2    0.000    0.000    0.000    0.000 __init__.py:113(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:119(CudnnModule)
        1    0.000    0.000    0.000    0.000 __init__.py:1194(_StderrHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:12(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:120(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1200(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1218(PlaceHolder)
        1    0.000    0.000    0.000    0.000 __init__.py:122(EmptyDataError)
        3    0.000    0.000    0.000    0.000 __init__.py:1224(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:1230(append)
        1    0.000    0.000    0.000    0.000 __init__.py:126(script_if_tracing)
        1    0.000    0.000    0.000    0.000 __init__.py:1260(Manager)
        1    0.000    0.000    0.000    0.000 __init__.py:1265(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1280(disable)
        5    0.000    0.000    0.000    0.000 __init__.py:1284(getLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:129(InvalidVersion)
        1    0.000    0.000    0.000    0.000 __init__.py:129(ParserWarning)
        1    0.000    0.000    0.000    0.000 __init__.py:13(ExportTypes)
        1    0.000    0.000    0.000    0.000 __init__.py:13(IntCastingNaNError)
        1    0.000    0.000    0.000    0.000 __init__.py:132(<listcomp>)
        5    0.000    0.000    0.000    0.000 __init__.py:1335(_fixupParents)
        1    0.000    0.000    0.000    0.000 __init__.py:135(_BaseVersion)
        1    0.000    0.000    0.000    0.000 __init__.py:1389(Logger)
        6    0.000    0.000    0.000    0.000 __init__.py:1404(__init__)
       14    0.000    0.000    0.000    0.000 __init__.py:142(_check_size)
        1    0.000    0.000    0.003    0.003 __init__.py:143(_load_global_deps)
        4    0.000    0.000    0.000    0.000 __init__.py:144(__lt__)
        2    0.000    0.000    0.000    0.000 __init__.py:148(is_initialized)
        1    0.000    0.000    0.015    0.015 __init__.py:15(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:15(cuFFTPlanCacheAttrContextProp)
        2    0.000    0.000    0.008    0.004 __init__.py:153(_lazy_call)
        1    0.000    0.000    0.000    0.000 __init__.py:154(py_object)
        1    0.000    0.000    0.000    0.000 __init__.py:162(__ge__)
        1    0.000    0.000    0.000    0.000 __init__.py:163(c_short)
        1    0.000    0.000    0.000    0.000 __init__.py:164(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:167(c_ushort)
        1    0.000    0.000    0.008    0.008 __init__.py:17(<module>)
